what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300893145571
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300893151276
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300893151318
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300893151327
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.layout.LayoutEditor",1300893157205
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1300893180860
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1300893201262
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300893203424
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300893208938
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300893209365
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300893210748
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300893214383
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300893214447
error,log,,,"Malformed javadoc, rejected by FormText for node activity: 'The <code>activity</code> tag declares an {@link android.app.Activity} class that is available as part of the package's application components, implementing a part of the application's user interface.'",1300893223226
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1300893249749
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300893258220
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300893258406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300893259966
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300893268682
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300893283110
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300893283166
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300893289262
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300893292829
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300893292922
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1300893295345
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300893295452
