what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1300949302114
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1300949302436
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1300949302762
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1300949303137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1300949312054
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1300949324356
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1300949325156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300949328845
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300949342495
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300949344479
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300949385812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300949386192
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300949391410
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1300949392514
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1300949393508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1300949393877
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1300949399350
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1300949399994
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1300949408456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300949415628
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1300949415689
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300949418113
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1300949419481
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1300949421928
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1300949422930
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300949424255
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300949426157
