what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1300947747094
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947749632
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947751990
closed,editor,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1300947752134
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947758963
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947762250
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1300947764064
opened,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300947764928
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300947765002
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1300947780362
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300947783125
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1300947785113
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1300947785286
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1300947788382
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1300947793080
activated,editor,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1300947793384
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1300947795045
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1300947795725
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947800463
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947801107
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947802114
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947842080
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1300947844410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947847239
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1300947847301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947849786
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1300947851616
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1300947851816
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1300947853308
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1300947854860
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1300947856031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947858387
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1300947858445
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1300947860655
